,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
35160,0.40384615384615385,0.9784090909090908,0.9754166666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35165,0.40384615384615385,0.9267857142857142,0.6765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35194,0.4423076923076923,0.8474999999999999,0.7113095238095238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35201,0.46153846153846156,0.9136363636363637,0.7560344827586207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35206,0.38461538461538464,0.590625,0.590625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35219,0.40384615384615385,0.9816176470588236,0.9816176470588236,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35239,0.38461538461538464,0.21458333333333335,0.21458333333333335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35242,0.6730769230769231,0.7333333333333333,0.8562101910828025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35248,0.6346153846153846,0.79375,0.8562962962962963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35250,0.6346153846153846,0.79375,0.8562962962962963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35263,0.5384615384615384,0.6537499999999999,0.8033783783783784,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
35267,0.5,0.9265625,0.827,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35317,0.4807692307692308,0.8116666666666668,0.8449074074074074,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35320,0.46153846153846156,0.8928571428571429,0.8864583333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35325,0.4423076923076923,0.9857142857142858,0.841,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35330,0.38461538461538464,0.9303571428571429,0.9303571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35335,0.4230769230769231,0.74875,0.60390625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35343,0.38461538461538464,0.2875,0.2875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35356,0.5961538461538461,0.523611111111111,0.6802696078431373,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35359,0.5576923076923077,0.8428571428571429,0.7061567164179104,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35371,0.4230769230769231,0.29583333333333334,0.43875000000000003,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35377,0.38461538461538464,0.6765625,0.6765625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35387,0.4423076923076923,0.7696428571428571,0.5690972222222223,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35391,0.40384615384615385,0.5772727272727273,0.5321428571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35398,0.6923076923076923,0.6625,0.5909926470588236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35425,0.5192307692307693,0.27132352941176474,0.41045081967213115,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35463,0.46153846153846156,0.8944444444444445,0.8569444444444445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35475,0.5,0.49821428571428567,0.5026041666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35494,0.5192307692307693,1.0,0.8492521367521368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35496,0.5,0.9140625,0.8466304347826087,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35499,0.46153846153846156,0.88671875,0.8255681818181818,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35503,0.40384615384615385,0.5133928571428571,0.6397321428571429,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35512,0.5769230769230769,0.9671875,0.8820588235294118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35514,0.5576923076923077,0.735,0.8778549382716049,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
35520,0.5,0.79375,0.9153409090909091,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35565,0.38461538461538464,0.8138888888888889,0.6336538461538461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35599,0.5,1.0,0.8138888888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35605,0.46153846153846156,0.9625,0.9625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35632,0.46153846153846156,1.0,0.7201612903225806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35660,0.5,0.7578125,0.836111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
